norm_name;name;norm_reg;href;lat;long;okato;oktmo;people;square;height;phone_code;post_index;timezone;RegName;RegOKATO;RegPeople;RegSquare;adm_center;FedName;people2017;city_people;country_people
Тоцкое Второе;Тоцкое Второе;Оренбургская;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D1%86%D0%BA%D0%BE%D0%B5_%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B5;52.54055556;52.83305556;53 252 806 001;53652406101;0;0.0;0.0;735349;461132;UTC+5;Оренбургская область;53;1989589.0;123702.0;Оренбург;Приволжский федеральный округ;;;
Идрица;Идрица;Псковская;https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D1%80%D0%B8%D1%86%D0%B0;56.31666667;28.88333333;58 254 553;58654153051;0;0.0;0.0;781140;182296;UTC+3;Псковская область;58;642164.0;55399.0;Псков;Северо-Западный федеральный округ;4653;4653;
Карымское;Карымское;Забайкальский;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%8B%D0%BC%D1%81%D0%BA%D0%BE%D0%B5_(%D0%BF%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%BA_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%82%D0%B8%D0%BF%D0%B0);51.615;11.07222222;76 220 551;76620151051;0;0.0;0.0;730234;673300;UTC+9;Забайкальский край;76;1078983.0;431892.0;Чита;Сибирский федеральный округ;12861;12861;
Кропоткин;Кропоткин;Краснодарский;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BF%D0%BE%D1%82%D0%BA%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);45.43333333;40.56666667;3 414;03618101001;79152.47;98.7;80.0;786138;352380–352396;UTC+3;Краснодарский край;3;5570945.0;75485.0;Краснодар;Южный федеральный округ;79152;79152;
Усть-Кинельский;Усть-Кинельский;Самарская;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8C-%D0%9A%D0%B8%D0%BD%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9;53.26666667;50.58333333;36 408 557;36708000061;100;6.58;0.0;784663;446442;UTC+4;Самарская область;36;3203679.0;53565.0;Самара;Приволжский федеральный округ;11384;11384;
Иннополис;Иннополис;Татарстан;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%BD%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%81;55.76361111;48.73666667;92 220 509 000;92620109001;102;2.2;0.0;7843;420500;UTC+3;Татарстан;92;3885253.0;67847.0;Казань;Приволжский федеральный округ;;;
Нельмин-Нос;Нельмин-Нос;Ненецкий;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BB%D1%8C%D0%BC%D0%B8%D0%BD-%D0%9D%D0%BE%D1%81;67.98138889;52.95555556;11 154 000 001;11811454101;817;1.6;0.0;781853;166714;UTC+3;Ненецкий АО;11100;43937.0;176810.0;Нарьян-Мар;Северо-Западный федеральный округ;;;
Чекалин;Чекалин;Тульская;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BA%D0%B0%D0%BB%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);54.1;36.25;70 240 508;70640108001;941;0.0;190.0;748763;301414;UTC+3;Тульская область;70;1499417.0;25679.0;Тула;Центральный федеральный округ;941;941;
Армань;Армань;Магаданская;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%BD%D1%8C;59.66666667;15.00222222;44 201 554;44702000106;982;0.0;56.0;;685930;UTC+11;Магаданская область;44;145570.0;462464.0;Магадан;Дальневосточный федеральный округ;;;
Лорино;Лорино;Чукотский;https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%80%D0%B8%D0%BD%D0%BE_(%D0%A7%D1%83%D0%BA%D0%BE%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3);65.5;17.02861111;77 233 000 003;77633423101;1000;0.0;0.0;742736;689315;UTC+12;Чукотский АО;77;49822.0;721481.0;Анадырь;Дальневосточный федеральный округ;;;
