;height;href;lat;long;name;norm_name;norm_reg;okato;oktmo;people;phone_code;post_index;square;timezone
953;0;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D1%86%D0%BA%D0%BE%D0%B5_%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B5;52.54055556;52.83305556;Тоцкое Второе;Тоцкое Второе;Оренбургская;53 252 806 001;53652406101;0;735349;461132;0;UTC+5
1031;0;https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D1%80%D0%B8%D1%86%D0%B0;56.31666667;28.88333333;Идрица;Идрица;Псковская;58 254 553;58654153051;0;781140;182296;0;UTC+3
1383;0;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%8B%D0%BC%D1%81%D0%BA%D0%BE%D0%B5_(%D0%BF%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%BA_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%82%D0%B8%D0%BF%D0%B0);51.615;11.07222222;Карымское;Карымское;Забайкальский;76 220 551;76620151051;0;730234;673300;0;UTC+9
28;80;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BF%D0%BE%D1%82%D0%BA%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);45.43333333;40.56666667;Кропоткин;Кропоткин;Краснодарский;3 414;3618101001;79152.47;786138;352380–352396;98.7;UTC+3
682;0;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8C-%D0%9A%D0%B8%D0%BD%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9;53.26666667;50.58333333;Усть-Кинельский;Усть-Кинельский;Самарская;36 408 557;36708000061;100;784663;446442;6.58;UTC+4
2024;0;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%BD%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%81;55.76361111;48.73666667;Иннополис;Иннополис;Татарстан;92 220 509 000;92620109001;102;7843;420500;2.2;UTC+3
192;0;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BB%D1%8C%D0%BC%D0%B8%D0%BD-%D0%9D%D0%BE%D1%81;67.98138889;52.95555556;Нельмин-Нос;Нельмин-Нос;Ненецкий;11 154 000 001;11811454101;817;781853;166714;1.6;UTC+3
2023;190;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BA%D0%B0%D0%BB%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);54.1;36.25;Чекалин;Чекалин;Тульская;70 240 508;70640108001;941;748763;301414;0;UTC+3
772;56;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D0%B0%D0%BD%D1%8C;59.66666667;15.00222222;Армань;Армань;Магаданская;44 201 554;44702000106;982;;685930;0;UTC+11
1412;0;https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D1%80%D0%B8%D0%BD%D0%BE_(%D0%A7%D1%83%D0%BA%D0%BE%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3);65.5;17.02861111;Лорино;Лорино;Чукотский;77 233 000 003;77633423101;1000;742736;689315;0;UTC+12
