name;type;okato;oktmo;name2;sign_budget;oktmo_budget;name_budget;oktmo_parent;name_parent;;;;;;;;;;;;;;;;;;;;;;;;;;;
Абзелиловский район Республики Башкортостан;муниципальный район;80201000000;80601000;Абзелиловский муниципальный район;+;80601000;Абзелиловский муниципальный район;80000000;Республика Башкортостан;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альмухаметовский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201804000;80601404;Альмухаметовский сельсовет;+;80601404;Альмухаметовский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Амангильдинский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201807000;80601407;Амангильдинский сельсовет;+;80601407;Амангильдинский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Аскаровский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201810000;80601410;Аскаровский сельсовет;+;80601410;Аскаровский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Баимовский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201813000;80601413;Баимовский сельсовет;+;80601413;Баимовский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Бурангуловский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201816000;80601416;Бурангуловский сельсовет;+;80601416;Бурангуловский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Гусевский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201819000;80601419;Гусевский сельсовет;+;80601419;Гусевский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Давлетовский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201822000;80601422;Давлетовский сельсовет;+;80601422;Давлетовский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кирдасовский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201825000;80601425;Кирдасовский сельсовет;+;80601425;Кирдасовский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Краснобашкирский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201828000;80601428;Краснобашкирский сельсовет;+;80601428;Краснобашкирский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Равиловский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201831000;80601431;Равиловский сельсовет;+;80601431;Равиловский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ташбулатовский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201834000;80601434;Ташбулатовский сельсовет;+;80601434;Ташбулатовский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Таштимеровский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201837000;80601437;Таштимеровский сельсовет;+;80601437;Таштимеровский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Халиловский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201840000;80601440;Халиловский сельсовет;+;80601440;Халиловский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Хамитовский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201843000;80601443;Хамитовский сельсовет;+;80601443;Хамитовский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Янгильский сельсовет муниципального района Абзелиловский район Республики Башкортостан сельское поселение;сельское поселение;80201846000;80601446;Янгильский сельсовет;+;80601446;Янгильский сельсовет;80601000;Абзелиловский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альшеевский район Республики Башкортостан;муниципальный район;80202000000;80602000;Альшеевский муниципальный район;+;80602000;Альшеевский муниципальный район;80000000;Республика Башкортостан;;;;;;;;;;;;;;;;;;;;;;;;;;;
Абдрашитовский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202804000;80602404;Абдрашитовский сельсовет;+;80602404;Абдрашитовский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Аксеновский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202806000;80602406;Аксеновский сельсовет;+;80602406;Аксеновский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Воздвиженский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202813000;80602413;Воздвиженский сельсовет;+;80602413;Воздвиженский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Гайниямакский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202816000;80602416;Гайниямакский сельсовет;+;80602416;Гайниямакский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Зеленоклиновский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202818000;80602418;Зеленоклиновский сельсовет;+;80602418;Зеленоклиновский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ибраевский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202819000;80602419;Ибраевский сельсовет;+;80602419;Ибраевский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Казанский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202822000;80602422;Казанский сельсовет;+;80602422;Казанский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кармышевский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202828000;80602428;Кармышевский сельсовет;+;80602428;Кармышевский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кипчак-Аскаровский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202831000;80602431;Кипчак-Аскаровский сельсовет;+;80602431;Кипчак-Аскаровский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кызыльский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202837000;80602437;Кызыльский сельсовет;+;80602437;Кызыльский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мендяновский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202840000;80602440;Мендяновский сельсовет;+;80602440;Мендяновский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Нигматуллинский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202843000;80602443;Нигматуллинский сельсовет;+;80602443;Нигматуллинский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Нижнеаврюзовский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202846000;80602446;Нижнеаврюзовский сельсовет;+;80602446;Нижнеаврюзовский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Никифаровский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202849000;80602449;Никифаровский сельсовет;+;80602449;Никифаровский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Раевский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202851000;80602451;Раевский сельсовет;+;80602451;Раевский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Слаковский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202855000;80602455;Слаковский сельсовет;+;80602455;Слаковский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ташлинский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202858000;80602458;Ташлинский сельсовет;+;80602458;Ташлинский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Трунтаишевский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202861000;80602461;Трунтаишевский сельсовет;+;80602461;Трунтаишевский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чебенлинский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202864000;80602464;Чебенлинский сельсовет;+;80602464;Чебенлинский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Шафрановский сельсовет муниципального района Альшеевский район Республики Башкортостан сельское поселение;сельское поселение;80202870000;80602470;Шафрановский сельсовет;+;80602470;Шафрановский сельсовет;80602000;Альшеевский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельский район Республики Башкортостан;муниципальный район;80203000000;80603000;Архангельский муниципальный район;+;80603000;Архангельский муниципальный район;80000000;Республика Башкортостан;;;;;;;;;;;;;;;;;;;;;;;;;;;
Абзановский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203804000;80603404;Абзановский сельсовет;+;80603404;Абзановский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203810000;80603410;Архангельский сельсовет;+;80603410;Архангельский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арх-Латышский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203813000;80603413;Арх-Латышский сельсовет;+;80603413;Арх-Латышский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Бакалдинский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203816000;80603416;Бакалдинский сельсовет;+;80603416;Бакалдинский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Инзерский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203819000;80603419;Инзерский сельсовет;+;80603419;Инзерский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ирныкшинский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203822000;80603422;Ирныкшинский сельсовет;+;80603422;Ирныкшинский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Краснозилимский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203825000;80603425;Краснозилимский сельсовет;+;80603425;Краснозилимский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Краснокуртовский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203828000;80603428;Краснокуртовский сельсовет;+;80603428;Краснокуртовский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Липовский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203834000;80603434;Липовский сельсовет;+;80603434;Липовский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Орловский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203840000;80603440;Орловский сельсовет;+;80603440;Орловский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тавакачевский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203846000;80603446;Тавакачевский сельсовет;+;80603446;Тавакачевский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Узунларовский сельсовет муниципального района Архангельский район Республики Башкортостан сельское поселение;сельское поселение;80203850000;80603450;Узунларовский сельсовет;+;80603450;Узунларовский сельсовет;80603000;Архангельский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Аскинский район Республики Башкортостан;муниципальный район;80204000000;80604000;Аскинский муниципальный район;+;80604000;Аскинский муниципальный район;80000000;Республика Башкортостан;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арбашевский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204802000;80604402;Арбашевский сельсовет;+;80604402;Арбашевский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Аскинский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204804000;80604404;Аскинский сельсовет;+;80604404;Аскинский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Евбулякский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204813000;80604413;Евбулякский сельсовет;+;80604413;Евбулякский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Казанчинский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204816000;80604416;Казанчинский сельсовет;+;80604416;Казанчинский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Карткисяковский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204818000;80604418;Карткисяковский сельсовет;+;80604418;Карткисяковский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кашкинский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204819000;80604419;Кашкинский сельсовет;+;80604419;Кашкинский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ключевский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204825000;80604425;Ключевский сельсовет;+;80604425;Ключевский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кубиязовский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204828000;80604428;Кубиязовский сельсовет;+;80604428;Кубиязовский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кунгаковский сельсовет муниципального района Аскинский район Республики Башкортостан сельское поселение;сельское поселение;80204831000;80604431;Кунгаковский сельсовет;+;80604431;Кунгаковский сельсовет;80604000;Аскинский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
