norm_name;num;href;name;square;people;adm_center;num_reg;num_city;okato;num_mun_reg;num_mun_city;FederalDistrictName;FederalDistrictID
Адыгея;1;https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D1%8B%D0%B3%D0%B5%D1%8F;Адыгея;7792;453366;Майкоп;7;2;79;7;2;Южный федеральный округ;3
Алтай;2;https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%90%D0%BB%D1%82%D0%B0%D0%B9;Алтай;92903;217007;Горно-Алтайск;10;1;84;10;1;Сибирский федеральный округ;7
Башкортостан;3;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%88%D0%BA%D0%BE%D1%80%D1%82%D0%BE%D1%81%D1%82%D0%B0%D0%BD;Башкортостан;142947;4066972;Уфа;54;21;80;54;9;Приволжский федеральный округ;5
Бурятия;4;https://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D1%8F%D1%82%D0%B8%D1%8F;Бурятия;351334;984134;Улан-Удэ;21;2;81;21;2;Сибирский федеральный округ;7
Дагестан;5;https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B3%D0%B5%D1%81%D1%82%D0%B0%D0%BD;Дагестан;50270;3041900;Махачкала;41;10;82;42;10;Северо–Кавказский федеральный округ;4
Ингушетия;6;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B3%D1%83%D1%88%D0%B5%D1%82%D0%B8%D1%8F;Ингушетия;3628;480474;Магас;4;4;26;4;4;Северо–Кавказский федеральный округ;4
Кабардино-Балкария;7;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B1%D0%B0%D1%80%D0%B4%D0%B8%D0%BD%D0%BE-%D0%91%D0%B0%D0%BB%D0%BA%D0%B0%D1%80%D0%B8%D1%8F;Кабардино-Балкария;12470;864454;Нальчик;10;3;83;10;3;Северо–Кавказский федеральный округ;4
Калмыкия;8;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%BC%D1%8B%D0%BA%D0%B8%D1%8F;Калмыкия;74731;277803;Элиста;13;1;85;13;1;Южный федеральный округ;3
Карачаево-Черкесия;9;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D1%87%D0%B0%D0%B5%D0%B2%D0%BE-%D0%A7%D0%B5%D1%80%D0%BA%D0%B5%D1%81%D0%B8%D1%8F;Карачаево-Черкесия;14277;466432;Черкесск;10;2;91;10;2;Северо–Кавказский федеральный округ;4
Карелия;10;https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D0%B8%D1%8F;Карелия;180520;627083;Петрозаводск;16;13;86;16;2;Северо-Западный федеральный округ;2
Коми;11;https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D0%BE%D0%BC%D0%B8;Коми;416774;850554;Сыктывкар;12;8;87;15;5;Северо-Западный федеральный округ;2
Крым;12;https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D1%80%D1%8B%D0%BC;Крым;26081;1912168;Симферополь;18;16;35;14;11;Крымский федеральный округ;9
Марий;13;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%B8%D0%B9_%D0%AD%D0%BB;Марий Эл;23375;684684;Йошкар-Ола;14;4;88;14;3;Приволжский федеральный округ;5
Мордовия;14;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B4%D0%BE%D0%B2%D0%B8%D1%8F;Мордовия;26128;808541;Саранск;22;7;89;22;1;Приволжский федеральный округ;5
Саха;15;https://ru.wikipedia.org/wiki/%D0%AF%D0%BA%D1%83%D1%82%D0%B8%D1%8F;Саха (Якутия);3083523;962835;Якутск;33;5;98;34;2;Дальневосточный федеральный округ;8
Алания;16;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F;Северная Осетия — Алания;7987;703262;Владикавказ;8;1;90;8;1;Северо–Кавказский федеральный округ;4
Татарстан;17;https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%82%D0%B0%D1%80%D1%81%D1%82%D0%B0%D0%BD;Татарстан;67847;3885253;Казань;43;14;92;43;2;Приволжский федеральный округ;5
Тыва;18;https://ru.wikipedia.org/wiki/%D0%A2%D1%8B%D0%B2%D0%B0;Тыва;168604;318550;Кызыл;17;2;93;17;2;Сибирский федеральный округ;7
Удмуртия;19;https://ru.wikipedia.org/wiki/%D0%A3%D0%B4%D0%BC%D1%83%D1%80%D1%82%D0%B8%D1%8F;Удмуртия;42061;1516826;Ижевск;25;5;94;25;5;Приволжский федеральный округ;5
Хакасия;20;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BA%D0%B0%D1%81%D0%B8%D1%8F;Хакасия;61569;537668;Абакан;8;5;95;8;5;Сибирский федеральный округ;7
Чечня;21;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%87%D0%BD%D1%8F;Чечня;15647;1414865;Грозный;17;5;96;17;2;Северо–Кавказский федеральный округ;4
Чувашия;22;https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%B2%D0%B0%D1%88%D0%B8%D1%8F;Чувашия;18343;1235863;Чебоксары;21;9;97;21;5;Приволжский федеральный округ;5
Алтайский;23;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Алтайский край;167996;2365680;Барнаул;60;11;1;60;11;Сибирский федеральный округ;7
Забайкальский;24;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B1%D0%B0%D0%B9%D0%BA%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Забайкальский край;431892;1078983;Чита;31;5;76;31;4;Сибирский федеральный округ;7
Камчатский;25;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Камчатский край;464275;314729;Петропавловск-Камчатский;11;2;30;11;3;Дальневосточный федеральный округ;8
Краснодарский;26;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Краснодарский край;75485;5570945;Краснодар;37;15;3;37;7;Южный федеральный округ;3
Красноярский;27;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Красноярский край;2366797;2875301;Красноярск;54;19;4;44;17;Сибирский федеральный округ;7
Пермский;28;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%BC%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Пермский край;160236;2632097;Пермь;33;14;57;42;6;Приволжский федеральный округ;5
Приморский;29;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Приморский край;164673;1923116;Владивосток;22;12;5;22;12;Дальневосточный федеральный округ;8
Ставропольский;30;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D0%B2%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Ставропольский край;66160;2804383;Ставрополь;26;10;7;26;9;Северо–Кавказский федеральный округ;4
Хабаровский;31;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9;Хабаровский край;787633;1333294;Хабаровск;17;6;8;17;2;Дальневосточный федеральный округ;8
Амурская;32;https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D1%83%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Амурская область;361908;801752;Благовещенск;20;7;10;20;8;Дальневосточный федеральный округ;8
Архангельская;33;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Архангельская область;589913;1165750;Архангельск;20;8;11;19;7;Северо-Западный федеральный округ;2
Астраханская;34;https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Астраханская область;49024;1018866;Астрахань;11;3;12;11;2;Южный федеральный округ;3
Белгородская;35;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Белгородская область;27134;1552865;Белгород;21;6;14;19;3;Центральный федеральный округ;1
Брянская;36;https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8F%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Брянская область;34857;1220530;Брянск;27;5;15;27;6;Центральный федеральный округ;1
